desc,address,link,price,bedrooms,bathrooms,toilets,parking space,location,Estate,ppty_type
1 bedroom mini flat (room and parlour) for rent,"Illasan, Ikate, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/mini-flats/lagos/lekki/2244064-fully-serviced-brand-new-luxury-mini-flat,4500000.0,1.0,1.0,2.0,1.0,Lekki,"Ikate, Illasan,",mini flat
2 bedroom flat / apartment for rent,"VGC, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/victoria-garden-city/2244019-decent-and-newly-built-2-bedrooms-apartment,2500000.0,2.0,2.0,3.0,2.0,Lekki,,flat 
1 bedroom mini flat (room and parlour) for rent,"Opposite Shoprite, Jakande Roundabout, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/mini-flats/lagos/lekki/2243977-newly-built-1-bedroom-apartment,1500000.0,1.0,1.0,1.0,1.0,Lekki,"Roundabout, Jakande",mini flat
2 bedroom detached bungalow for rent,"Lekki Phase 1, Lekki Phase 1, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/houses/detached-bungalows/lagos/lekki/lekki-phase-1/2243907-luxury-2bedroom-apartment,12000000.0,2.0,2.0,3.0,2.0,Lekki,"1, Phase",detached bungalow
1 bedroom mini flat (room and parlour) for rent,"Sabo Yaba, Yaba, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/mini-flats/lagos/yaba/2243859-miniflat-available-in-a-calm-area,800000.0,1.0,1.0,1.0,1.0,Yaba,"Yaba, Sabo",mini flat
3 bedroom flat / apartment for rent,"Banana Island, Ikoyi, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/ikoyi/banana-island/2017288-luxuriously-furnished-3-bedrooms-with-excellent-facilities,20000000.0,3.0,3.0,4.0,2.0,Ikoyi,"Island, Banana",flat 
3 bedroom terraced duplex for rent,"Ajah, Lagos",https://nigeriapropertycentre.com//for-rent/houses/terraced-duplexes/lagos/ajah/2243820-luxury-3-bedroom-terrace-duplex-with-bq,2500000.0,3.0,3.0,4.0,2.0,Ajah,,terraced duplex
2 bedroom flat / apartment for rent,"Off Admiralty Road, Lekki Phase 1, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/lekki-phase-1/2243803-luxury-2-bedroom-apartment-with-exclusive-access-to-outstanding-facilities,10000000.0,2.0,2.0,3.0,2.0,Lekki,"1, Phase",flat 
2 bedroom flat / apartment for rent,"Agungi, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/agungi/2243801-furnished-2-bedroom-flat-now-available,5000000.0,2.0,2.0,3.0,2.0,Lekki,,flat 
1 bedroom mini flat (room and parlour) for rent,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/mini-flats/lagos/lekki/lekki-phase-1/2243799-self-serviced-mini-flat,3000000.0,1.0,1.0,1.0,1.0,Lekki,"1, Phase",mini flat
1 bedroom mini flat (room and parlour) for rent,"Off Gbangbala Street, Ikate Elegushi, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/mini-flats/lagos/lekki/ikate-elegushi/2243788-spacious-1-bedroom-mini-flat,3000000.0,1.0,1.0,2.0,1.0,Lekki,"Elegushi, Ikate",mini flat
3 bedroom flat / apartment for rent,"Igbo Efon, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/igbo-efon/2228556-a-3-bedroom-flat,2200000.0,3.0,2.0,3.0,2.0,Lekki,"Efon, Igbo",flat 
2 bedroom flat / apartment for rent,"Ogombo, Ajah, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/ajah/ogombo/2243763-luxury-2-bedrooms-apartment,1100000.0,2.0,2.0,3.0,2.0,Ajah,,flat 
2 bedroom flat / apartment for rent,"Ogombo, Ajah, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/ajah/ogombo/2243757-luxury-2-bedrooms-apartment,1100000.0,2.0,2.0,3.0,2.0,Ajah,,flat 
2 bedroom flat / apartment for rent,"Ikoyi, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/ikoyi/2243752-massive-build-service-2-bedroom-flat-all-rooms-ensuit-fittted-ac,4000000.0,2.0,3.0,3.0,2.0,Ikoyi,,flat 
